course_id,module_id,competency_id,name,description,domain
course_4,module_44,Java_Basics,Lập trình Java căn bản,"Hiểu về đặc điểm lịch sử của ngôn ngữ Java, cài đặt môi trường phát triển và cấu trúc cơ bản của chương trình Java, sử dụng biến, kiểu dữ liệu, phép toán, cấu trúc điều khiển, chuỗi, mảng, nhập xuất dữ liệu, ngày giờ, tập tin và khái niệm hướng đối tượng (OOP).",Software_Development
course_4,module_44,Spring_Framework_Basics,Spring Framework cơ bản,"Hiểu được vai trò, kiến trúc và các module chính của Spring Framework trong phát triển ứng dụng Java hiện đại.",Java_Development
course_4,module_44,IoC_DependencyInjection,Inversion of Control và Dependency Injection,"Biết khái niệm Inversion of Control (IoC) và Dependency Injection (DI), cách hoạt động của chúng trong Spring Framework.",Java_Development
course_4,module_44,Spring_Bean_Configuration,Cấu hình Spring Bean,"Nắm được cách cấu hình Spring Bean bằng XML và Annotation, hiểu về các container như BeanFactory và ApplicationContext.",Java_Development
course_4,module_44,Spring_Bean_Lifecycle,Vòng đời của Bean trong Spring,"Hiểu rõ vòng đời của một Bean trong Spring, từ khởi tạo đến hủyBean, bao gồm các giai đoạn quan trọng.",Java_Development
course_4,module_44,Spring_Container_Use,Sử dụng Spring Container,"Biết cách khởi tạo và sử dụng Spring Container để quản lý, tạo, cấu hình và hủy các Bean.",Java_Development
course_4,module_44,Spring_Autowiring,Tự động tiêm phụ thuộc (Autowiring),Hiểu về phương thức tự động tiêm (autowiring) bằng @Autowired và cách cấu hình nó trong Spring.,Java_Development
course_4,module_44,Spring_Configuration_Applied,Áp dụng cấu hình Spring trong mã nguồn,Biết cách cấu hình Spring sử dụng Annotation ngay trong mã nguồn và viết cấu hình Context trong Java.,Java_Development
course_4,module_44,Spring_ApplicationDevelopment,Phát triển ứng dụng Spring đơn giản,Cài đặt và chạy một ứng dụng Spring đơn giản với các Bean và tiêm phụ thuộc giữa chúng.,Java_Development
course_4,module_44,Spring_MVC_Basics,Mô hình kiến trúc Spring MVC cơ bản,Hiểu được mô hình kiến trúc MVC (Model – View – Controller) trong Spring và cách hoạt động của DispatcherServlet. Hiểu rõ luồng xử lý yêu cầu trong Spring MVC.,Web_Frontend
course_4,module_44,Spring_MVC_Controller,Tạo và cấu hình Controller trong Spring MVC,Biết cách tạo và cấu hình các Controller sử dụng XML và Annotation. Hiểu về vai trò của Controller trong việc tiếp nhận yêu cầu từ client và xử lý logic.,Web_Frontend
course_4,module_44,Spring_MVC_View,Tạo và quản lý View trong Spring MVC,"Biết cách tạo các View (JSP, Thymeleaf) và cấu hình View Resolver để xác định view cần render. Hiểu về cơ chế truyền dữ liệu từ Controller đến View qua Model.",Web_Frontend
course_4,module_44,Spring_MVC_Request_Handling,Xử lý yêu cầu HTTP trong Spring MVC,Biết cách sử dụng @RequestMapping để ánh xạ URL đến phương thức xử lý. Hiểu về việc nhận dữ liệu từ form thông qua @RequestParam hoặc @ModelAttribute.,Web_Frontend
course_4,module_44,Spring_MVC_Form_Properties,Tạo và xử lý form trong Spring MVC,Biết cách tạo form để nhận dữ liệu từ client và hiển thị kết quả trên trang khác. Hiểu về cơ chế truyền dữ liệu giữa Controller và View.,Web_Frontend
course_4,module_44,Spring_MVC_File_Uplading,Upload file trong Spring MVC,Biết cách xử lý upload file thông qua MultipartFile. Hiểu về cấu hình multipart resolver.,Web_Frontend
course_4,module_44,Spring_MVC_Static_Resources,Xử lý tài nguyên tĩnh trong Spring MVC,"Hiểu về cách cấu hình để truy cập các tài nguyên tĩnh như CSS, JS, Images. Biết cách sử dụng đường dẫn đến các tài nguyên tĩnh.",Web_Frontend
course_4,module_44,JDBC_Basics,JDBC cơ bản,"Hiểu khái niệm, cấu trúc và cách hoạt động của JDBC. Thực hiện các thao tác CRUD (Create, Read, Update, Delete) với cơ sở dữ liệu.",Database_Connectivity
course_4,module_44,Spring_JDBC,Spring JDBC,Cấu hình và sử dụng Spring JDBC thông qua JdbcTemplate để đơn giản hóa thao tác với cơ sở dữ liệu. Hiểu về quản lý giao dịch (Transaction Management) trong Spring.,Java_Frameworks
course_4,module_44,Exception_Handling,Xử lý ngoại lệ,"Hiểu và xử lý các loại ngoại lệ phổ biến khi sử dụng JDBC như DataAccessException, BadSqlGrammarException, DataIntegrityViolationException, DuplicateKeyException.",Error_Handle
course_4,module_44,Hibernate_Basics,Hibernate cơ bản,"Hiểu khái niệm ORM và vai trò của Hibernate trong lập trình Java. Biết thiết lập môi trường làm việc với Hibernate Framework, thực hiện ánh xạ lớp Java sang bảng cơ sở dữ liệu (mapping), thao tác dữ liệu (CRUD) bằng Hibernate.",Java_Database_Condensed
course_4,module_44,HQL_Querying,Truy vấn HQL,Nắm được cú pháp và cách sử dụng Hibernate Query Language (HQL) để thực hiện truy vấn dữ liệu.,Java_Database_Condensed
course_4,module_44,Spring_Hibernate_Integration,Tích hợp Hibernate với Spring Framework,Biết cách tích hợp Hibernate vào ứng dụng Spring bằng LocalSessionFactoryBean và cấu hình dataSource.,Java_Dependency_Injection
course_4,module_44,SpringMVC_Hibernate_Integration,Kết hợp Spring MVC với Hibernate,Hiểu cách kết hợp và cấu hình Spring MVC và Hibernate trong một ứng dụng web.,Java_Web_Development
course_4,module_44,3_Layer_Architecture_JavaWeb,Kiến trúc ba tầng (3-Layer Architecture) cho Java Web,Hiểu và áp dụng kiến trúc ba tầng trong phát triển ứng dụng Java Web.,Java_Web_Development
course_4,module_44,CRUD_Development_JavaWeb,Phát triển CRUD cho ứng dụng Java Web,"Phát triển các chức năng tạo, đọc, cập nhật và xóa (Create-Read-Update-Delete) trong một ứng dụng web.",Java_Web_Development
course_4,module_44,DAO_Layer_Java,Tầng DAO (Data Access Object) trong Java,Xây dựng tầng Data Access Object để truy cập và thao tác dữ liệu.,Java_Development
course_4,module_44,Service_Layer_Java,Tầng Service (Business Logic) trong Java,Phát triển các dịch vụ kinh doanh (business logic) để xử lý nghiệp vụ ứng dụng.,Java_Development
course_4,module_44,Controller_Layer_Java,Tầng Controller trong Java Web,Xây dựng tầng Controller để nhận và phản hồi các yêu cầu từ người dùng.,Java_Web_Development
course_4,module_46,ASPNET_Basics,HTML cơ bản,"Hiểu cấu trúc tài liệu HTML trong môi trường .NET Framework, đặc biệt là về ứng dụng ASP.NET",Web_Backend
course_4,module_46,ASPNET_Structure,.NET Framework và ứng dụng ASP.NET,Hiểu cấu trúc của một ứng dụng ASP.NET bao gồm các thành phần chính và mô hình xử lý yêu cầu (Request Lifecycle),Web_Backend
course_4,module_46,ASPNET_Differences,Điểm khác biệt giữa ASP truyền thống và ASP.NET,"Hiểu các điểm nổi bật của ASP.NET so với phiên bản cũ, đặc biệt là mô hình Client–Server, ngôn ngữ lập trình mạnh mẽ hơn, quản lý lỗi tự động và bảo mật cao",Web_Backend
course_4,module_46,ASPNET_NewFeatures,Các tính năng mới của ASP.NET 4.5,"Hiểu các tính năng mới như Bundling & Minification, Model Binding, WebSocket API, Async Programming và Request Validation trong phiên bản ASP.NET 4.5",Web_Backend
course_4,module_46,ASPNET_RequestResponse,Việc sử dụng Request và Response trong ASP.NET,Hiểu biết về việc xử lý yêu cầu từ client và phản hồi đến client thông qua các đối tượng Request và Response trong ASP.NET.,Web_Backend
course_4,module_46,ASPNET_ServerObjects,"Việc sử dụng Server, Session, Application và Cookie trong ASP.NET","Hiểu biết về việc sử dụng các đối tượng Server, Session, Application và Cookie để xử lý dữ liệu và trạng thái người dùng trong ứng dụng web.",Web_Backend
course_4,module_46,ADO_NET_Basics,Cơ bản ADO.NET,"Hiểu cách ASP.NET truy cập và thao tác dữ liệu từ cơ sở dữ liệu thông qua ADO.NET, bao gồm các lớp như SqlConnection, SqlCommand, SqlDataAdapter, DataSet, DataReader.",Web_Backend
course_4,module_46,LINQ_Querying,Truy vấn dữ liệu bằng LINQ,Hiểu cú pháp và cách sử dụng truy vấn LINQ để làm việc với dữ liệu trong ASP.NET.,Web_Backend
course_4,module_46,CRUD_Operations,"Thao tác CRUD (Create, Read, Update, Delete)","Thành thạo các thao tác tạo, đọc, cập nhật và xóa dữ liệu trong cơ sở dữ liệu sử dụng ADO.NET.",Web_Backend
course_4,module_46,ASP_NET_Data_Sources,Dữ liệu nguồn SqlDataSource + GridView,Hiểu cách hiển thị và quản lý dữ liệu bằng SqlDataSource và GridView trong ASP.NET.,Web_Frontend
course_4,module_46,Error_Handling,Xử lý lỗi kết nối cơ sở dữ liệu,Biết cách xử lý ngoại lệ khi làm việc với cơ sở dữ liệu trong ASP.NET.,Web_Backend
course_4,module_46,Disconnected_Model,Model không kết nối (Disconnected Model),Hiểu và sử dụng Disconnected Model của ADO.NET để làm việc với dữ liệu tạm thời.,Web_Backend
course_4,module_46,jQuery_Integration,Tích hợp jQuery vào ASP.NET,"Hiểu biết về cách tích hợp jQuery vào các trang ASP.NET WebForm hoặc MVC View, bao gồm việc sử dụng CDN hoặc file cục bộ.",Web_Frontend
course_4,module_46,jQuery_Selectors,Sử dụng selector trong jQuery,"Hiểu và sử dụng các selector như #id, .class, tag để chọn phần tử HTML theo yêu cầu.",Web_Frontend
course_4,module_46,Event_Handling_JavaScript,Xử lý sự kiện với jQuery,"Biết cách xử lý các sự kiện như click, doubleclick, mouseenter, mouseleave, change, keyup và ứng dụng chúng vào DOM.",Web_Frontend
course_4,module_46,DOM_Manipulation_JQuery,Thao tác DOM với jQuery,"Hiểu biết về việc thêm, xóa, thay đổi nội dung HTML thông qua các hàm như append, remove và text.",Web_Frontend
course_4,module_46,jQuery_Effects,Tạo hiệu ứng với jQuery,"Hiểu biết về các hiệu ứng như slideDown, slideUp, fadeToggle để tạo UI động và trải nghiệm người dùng tốt hơn.",Web_Frontend
course_4,module_46,jQuery_AJAX,Sử dụng jQuery AJAX trong ASP.NET,"Biết cách sử dụng $.ajax để trao đổi dữ liệu với server mà không cần tải lại trang, bao gồm việc xử lý thành công và lỗi.",Web_Frontend
course_4,module_46,jQuery_UI_Development,Phát triển giao diện người dùng động với jQuery,"Có khả năng tích hợp các hiệu ứng, xử lý sự kiện và thao tác DOM để tạo ra UI động trên trang ASP.NET.",Web_Frontend
course_4,module_46,AJAX_Server_Call,Gọi WebMethod từ jQuery AJAX,Hiểu biết về cách gọi các phương thức trên server bằng $.ajax trong ASP.NET và xử lý phản hồi.,Web_Frontend
course_4,module_46,Search_Functionality_With_JQuery,Tạo chức năng tìm kiếm với jQuery,"Biết cách sử dụng jQuery để tạo chức năng tìm kiếm trên trang web, ví dụ như tìm kiếm trong danh sách sinh viên.",Web_Frontend
course_4,module_46,ASPNET_MVC_Concepts,Quan niệm về ASP.NET MVC,"Hiểu khái niệm, cấu trúc và cách hoạt động của mô hình MVC trong ASP.NET.",Web_Backend
course_4,module_46,MVC_Component_Understanding,Hiểu biết về các thành phần MVC,"Hiểu về chức năng, vai trò và tương tác của Model, View, Controller trong ứng dụng ASP.NET MVC.",Web_Backend
course_4,module_46,ASPNET_MVC_vs_WF,So sánh giữa ASP.NET MVC và WebForms,"Phân biệt các đặc điểm chính của ASP.NET MVC so với WebForms, bao gồm kiến trúc, quản lý trạng thái và kiểm thử.",Web_Backend
course_4,module_46,Project_Structure_MVC,Cấu trúc dự án ASP.NET MVC,"Hiểu cấu trúc và tổ chức các thư mục trong một dự án ASP.NET MVC, bao gồm Controllers, Models, Views.",Web_Backend
course_4,module_46,Project_Creation_MVC,Tạo dự án ASP.NET MVC mới,"Biết cách tạo và cấu hình một dự án ASP.NET MVC sử dụng Visual Studio, bao gồm việc chọn template và đặt tên project.",Web_Backend
course_4,module_46,Routing_MVC,Kiến thức về Routing trong MVC,Hiểu cơ chế routing và cấu hình định tuyến (URL → Controller/Action) trong ASP.NET MVC.,Web_Backend
course_4,module_46,Data_Transfer_MVC,Truyền dữ liệu giữa Controller và View,"Biết cách truyền thông tin từ Controller sang View bằng ViewBag, ViewData, hoặc Model.",Web_Backend
course_4,module_46,Form_Handling_Post_MVC,Xử lý form POST trong MVC,Hiểu và biết cách tạo form và xử lý dữ liệu POST từ form đến View khác.,Web_Backend
course_4,module_46,Advantages_MVC,Ưu điểm của ASP.NET MVC,"Biết về các lợi ích chính của sử dụng ASP.NET MVC so với WebForms, bao gồm phân cách giao diện và xử lý nghiệp vụ, hỗ trợ kiểm thử tự động, mở rộng và bảo trì dễ dàng.",Web_Backend
course_4,module_46,MVC_Routing_Configuration,Cấu hình routing trong MVC,Biết cách cấu hình routing để thiết lập URL mặc định và quản lý các action của Controller.,Web_Backend
course_4,module_46,ASPNET_Core_Basics,ASP.NET Core cơ bản,"Hiểu về cấu trúc và quy trình làm việc của ASP.NET Core MVC, bao gồm Middleware, Dependency Injection, và Routing.",Web_Backend
course_4,module_46,Middleware_Understanding,Hiểu biết về Middleware,Nắm vững cách hoạt động của Middleware trong ASP.NET Core MVC và vai trò của chúng trong việc xử lý request/response.,Web_Backend
course_4,module_46,Dependency_Injection_MVC,Tiêm phụ thuộc Dependency Injection cho MVC,Hiểu vềDependency Injection và cách sử dụng nó để tiêm phụ thuộc vào các lớp trong ASP.NET Core MVC.,Web_Backend
course_4,module_46,Routing_Configuration,Cấu hình Routing,Nắm được cấu trúc và cách cấu hình routing trong ASP.NET Core MVC để điều hướng request đến các controller phù hợp.,Web_Backend
course_4,module_46,Startup_Configuration,Cấu hình Startup,"Hiểu về vai trò của file Startup.cs và cách cấu hình ứng dụng bằng cách sử dụng services, middleware, và endpoints.",Web_Backend
course_4,module_46,Creating_MVC_Applications,Tạo ứng dụng MVC,"Nắm vững quy trình tạo ứng dụng ASP.NET Core MVC, bao gồm cấu trúc dự án và thực hành xây dựng các controller, view, và routing.",Web_Backend
course_4,module_46,AppSettings_Configuration,Cấu hình AppSettings,"Hiểu về file appsettings.json và cách sử dụng nó để cấu hình ứng dụng, bao gồm đọc các thông tin cấu hình từ file này.",Web_Backend
course_4,module_46,ASPNETCORE_Basics,ASP.NET Core cơ bản,Hiểu quy trình phát triển ứng dụng ASP.NET Core MVC và sử dụng Entity Framework Core.,Web_Backend
course_4,module_46,CRUD_Development,Phát triển CRUD,"Tạo và quản lý chức năng Create, Read, Update, Delete trong ứng dụng web.",Web_Frontend
course_4,module_46,EntityFrameworkCore_Use,Sử dụng Entity Framework Core,Đăng ký và sử dụng Entity Framework Core để quản lý cơ sở dữ liệu trong ứng dụng ASP.NET Core MVC.,Database_Management
course_4,module_46,RazorView_Development,Phát triển View bằng Razor,"Tạo và sử dụng view (Index, Create, Edit, Details, Delete) trong ứng dụng ASP.NET Core MVC.",Web_Frontend
course_4,module_46,Form_Handling,Xử lý form nhập liệu,"Tạo và xử lý form nhập liệu, bao gồm validation cho dữ liệu đầu vào.",Web_Frontend
course_4,module_46,Routing_MVC,Sử dụng Routing trong MVC Core,Điều hướng đến các action khác nhau dựa trên URL và xử lý routing.,Web_Backend
course_4,module_46,Data_Transmission_MVC,Truyền dữ liệu trong ASP.NET Core MVC,"Hiểu các phương pháp truyền dữ liệu giữa Controller và View như ViewData, ViewBag, TempData và Model Binding, cũng như cách áp dụng chúng vào thực tế.",Web_Backend
